Created,By,기업명,모집공고,모집 부서,구분,경력,연도,시작일자,마감일자,업무,자격요건,우대사항,금융기업,데이터직무,코딩테스트,기술스택,"기타, 참고사항",태그_데이터 관련 자격증,태그_학력,페이지 링크,태그_개발역량 (삭제 예정),"태그, 키워드 (삭제 예정)"
"February 23, 2025 12:41 AM",김채연,(주)앤디소프트,"개발자, AI/데이터 신입/경력 모집.",데이터,정규직,"경력 무관, 신입",2025,2025/01/31,2025/03/02,인공지능 데이터 처리,"- Python 중고급자
- 프로그래밍 언어(Python, R등) 하나 이상 사용할 수 있는 분
- 대용량 데이터를 수집, 정제, 분석할 수 있는 능력을 갖춘 분
- 서비스 사용자데이터 분석 및 엔지니어링에 관심있는 분
- Apache, Spark 프레임워크 유사한 종류 사용 경력자","- Scrapy, Selenium 등 크롤링 프레임워크를 사용해 본 경험이 있으신 분
- 데이터 수집 및 처리를 위한 효율적인 파이프라인 설계 및 구현이 가능하신 분 (자동화)
- 스스로 주도하여 일을 이끌어갈 수 있는 분 (책임감)
- 한가지에 매몰되지 않고, 다양한 시각을 가질 수 있으신 분 (창의성)
- 한계에 돌파하여 문제를 해결하는 태도를 가지신 분 (도전적)",No,Yes,,"Python, R, Apache Spark, Scrapy, Selenium",,,학부졸업생,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49851884&recommend_ids=eJxVz8kVwkAMA9BquHuRLflMIem%2FCwiQmXD8z%2FKG4ZDAIbcHnxi1evwYi4uy2NUsU77ZXw4R9tfb2L2SgzvsJsyb%2FiEjxrWohrN2%2BBxla1Qhwn2Ho%2FPGqVLuqwZM57pqUMa%2BwkJD4m1vVdRiZSPjxzJLQ54P%2Bgu5jECj&view_type=search&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=fea0daed956d457155b3&paid_fl=n&search_uuid=7a7f3153-07da-48a2-9d1f-36d33f5b3cfd&immediately_apply_layer_open=n#seq=0,,
"February 23, 2025 12:29 AM",김채연,지에스건설(주),2025년 Data 전문가 정규직 경력사원 채용,Data - Management,정규직,3년 이상,2025,2025/02/07,2025/02/23,"Data Management
- Data Governance 체계 설계 및 운영
- Master Data Management 구축 및 최적화
- Master Data Management 정책 및 관리 프로세스 설계
- 전사 프로세스 자산화(BPA) 및 Rule Set 정립
- BPM 및 프로세스 마이닝 시스템 구축 및 운영
- 전사 프로세스 혁신 및 IT 시스템 구축 및 운영","- 전공 (학사 이상 / 석사, 박사 학위 소지자 우대)
 - 컴퓨터 공학, 데이터사이언스, 정보관리학, 산업공학 관련

- 직무 경험 및 자격 사항
 - 관련 분야 경력 4년 이상(아래 경험)
 - Master Data Management 시스템 구축 및 운영
 - Data 표준화 및 품질 관리 정책 수립
 - Data Governance 체계 설계 및 운영
 - 전사 프로세스 자산화 프로젝트 경험
 - 전사 프로세스 혁신 및 시스템 구축 경험","석사, 박사 학위 소지자 우대",No,No,,,,,"대학원(박사), 대학원(석사), 컴퓨터공학과 등, 학부졸업생",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49947762&recommend_ids=eJxVj8kNw0AMA6vJX%2BJSB98uxP13kUWArOzngAKHotSE5d3un7rCDErilmEjJYbVP6WCgPvBlK%2FEwc4IxKSRIR4U01MjomnZEVWBq94zOGm4t6ZK3YE5TjB7cHvLnrh3Di608Smq6NNcwn5jcMXST%2FQFXmxAPA%3D%3D&view_type=search&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=e39144b436f4359d5d1d&paid_fl=n&search_uuid=7a7f3153-07da-48a2-9d1f-36d33f5b3cfd&immediately_apply_layer_open=n#seq=0,,
"February 23, 2025 12:29 AM",김채연,지에스건설(주),2025년 Data 전문가 정규직 경력사원 채용,Data - Consultant,정규직,3년 이상,2025,2025/02/07,2025/02/23,"Data Consultant
- Data 흐름에 따라 E2E 프로세스 정립
- 현업 필요 데이터 정의 및 Database 구축
- Data Ontology 구축 기반 분석 인사이트 도출
- 전사 Data 구축 지원 (용어 정의 관리, Data 생성 및 수집 지원, 품질관리 등)
- 전사 플랫폼 사업 계획 지원","- 전공 (학사 이상 / 석사, 박사 학위 소지자 우대)
 - 컴퓨터 공학, 데이터사이언스, 정보관리학, 산업공학 관련

- 직무 경험 및 자격 사항
 - 관련 분야 경력 4년 이상(아래 경험)
 - E2E Data Lineage 구축 및 운영
 - Data Ontology 구축 및 운영
 - Data Insight 기반 Agile PJT 운영
 - 유관부서 별 플랫폼 사업 계획 시행 지원
 - Data 신사업 발굴 경험
","석사, 박사 학위 소지자 우대",No,No,,,,,"대학원(박사), 대학원(석사), 컴퓨터공학과 등, 학부졸업생",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49947762&recommend_ids=eJxVj8kNw0AMA6vJX%2BJSB98uxP13kUWArOzngAKHotSE5d3un7rCDErilmEjJYbVP6WCgPvBlK%2FEwc4IxKSRIR4U01MjomnZEVWBq94zOGm4t6ZK3YE5TjB7cHvLnrh3Di608Smq6NNcwn5jcMXST%2FQFXmxAPA%3D%3D&view_type=search&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=e39144b436f4359d5d1d&paid_fl=n&search_uuid=7a7f3153-07da-48a2-9d1f-36d33f5b3cfd&immediately_apply_layer_open=n#seq=0,,
"February 23, 2025 12:16 AM",김채연,지에스건설(주),2025년 Data 전문가 정규직 경력사원 채용,Data - Architecture,정규직,3년 이상,2025,2025/02/07,2025/02/23,"Data Architecture
- Data Architecture 설계 및 최적화
- Database 설계 및 최적화
- Database 성능 모니터링 및 문제 해결
- 클라우드 환경에서 Database 구축 및 운영
- Data 백업, 복구, 장애 대응 체계 구축 및 관리
- Data 보안 및 권한 관리 시스템 운영","- 전공 (학사 이상 / 석사, 박사 학위 소지자 우대)
 - 컴퓨터 공학, 데이터사이언스, 정보관리학, 산업공학 관련

- 직무 경험 및 자격 사항
 - 관련 분야 경력 4년 이상(아래 경험)
 - Data Architecture 설계 및 최적화
 - Database 설계 및 운영
 - 성능 최적화, Database 구축 및 관리
 - Data 백업, 복구, 장애 대응 체계 설계 및 운영
 - Data 보안, 권한 관리에 대한 전문 지식","석사, 박사 학위 소지자 우대",No,No,,,,,"대학원(박사), 대학원(석사), 컴퓨터공학과 등, 학부졸업생",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49947762&recommend_ids=eJxVj8kNw0AMA6vJX%2BJSB98uxP13kUWArOzngAKHotSE5d3un7rCDErilmEjJYbVP6WCgPvBlK%2FEwc4IxKSRIR4U01MjomnZEVWBq94zOGm4t6ZK3YE5TjB7cHvLnrh3Di608Smq6NNcwn5jcMXST%2FQFXmxAPA%3D%3D&view_type=search&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=e39144b436f4359d5d1d&paid_fl=n&search_uuid=7a7f3153-07da-48a2-9d1f-36d33f5b3cfd&immediately_apply_layer_open=n#seq=0,,
"February 16, 2025 9:14 PM",최진아,베이글코드,데이터 분석가 인턴,,인턴,신입,2025,2025/02/01,2025/02/28,"- KPI 모니터링• 업데이트 콘텐츠 및 마케팅 캠페인을 파악하고 이에 따른 Business KPI 설계• KPI 변화 원인 조사
- 데이터 시각화• Spark SQL을 이용한 게임 로그 데이터 핸들링• 대시보드 구축 및 관리
- 게임 업데이트 성과 측정• 유저 이탈, 게임 플레이 허들 등 문제 파악 및 개선 제안• 새로운 콘텐츠 추가에 따른 KPI 영향 분석• 콘텐츠 밸런스 조정 및 후속 조치 지원
- A/B 테스트• A/B 테스트 설계, 수행 및 결과 분석• 통계적 검정 수행 및 최적의 업데이트 방향 제안",- 지표의 흐름을 읽고 간결한 언어로 전달해 주실 수 있는 분- 데이터를 활용해 효과적으로 이해관계자를 설득할 수 있는 분- 논리적 사고와 수학적/통계학적 지식을 갖추고 그것을 잘 활용하시는 분- 문제가 생기면 집요하게 원인을 추적하는 데이터 탐정,"- 다양한 게임을 깊이 있게 즐기시는 분- 게임을 비즈니스적인 시각에서 바라보실 수 있는 분- SQL을 활용하여 생각하는 데이터를 추출할 수 있는 분- Tableau와 같은 BI 툴을 이용한 데이터 시각화 경험이 있는 분- 비즈니스 레벨 이상의 영어 능력을 보유하신 분- 전산학, 컴퓨터공학, 산업공학, 통계학, 수학 등 관련 학위를 소지하셨거나 해당 분야에 대한 경험이 있는 분",No,Yes,,,,,학력 무관,https://www.rocketpunch.com/jobs/153016/CVS-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D%EA%B0%80-1%EB%85%84-%EC%9D%B8%ED%84%B4-Business-Analyst-Intern,,
"February 16, 2025 8:58 PM",최진아,베스텔라랩,빅데이터 개발자,,정규직,"경력(연차 무관), 신입",2025,2025/02/01,2025/02/28,- 주차 내비게이션 서비스 빅데이터 플랫폼 구축 업무- Data Analyst- 주차 내비게이션 서비스에서 수집된 Data 분석 및 의미있는 데이터를 통계적으로 파악하고 알고리즘 제안- Data Scentis- DATA분석 결과를 알고리즘으로 변화 및 비즈니스 조직 구현 및 알고리즘 설계- Data Engineer- DATA를 수집하는 파이프라인 제작 및 데이터 수집기 개발 업무- 머신러닝에 필요한 전/후처리 업무- 알고리즘 코드화 및 개발,"- 개발 전공자(소프트웨어, 컴퓨터공학 등)- Pyton, SAS, R, SQL 등 프로그램 가능자- 컴퓨터 및 수학, 통계 관련 전공자- 빅데이터 플랫폼 구축에 이해도가 높거나 관심이 많으신 분- Java (Spring Boot) 소스코드 이해 및 개발 가능",- 자율주행 및 빅테이터 플랫폼 구축 유경험자- OpenCV 유경험자- 관련 학과 석/박사 및 자격증 소유자,No,Yes,,"- React, React Native, Java, JavaScript, Python, Spring, Framework, AWS, Git, 리눅스, PHP 등",,,"컴퓨터공학과 등, 통계학과",https://www.rocketpunch.com/jobs/151904/%EB%B9%85%EB%8D%B0%EC%9D%B4%ED%84%B0-%EA%B0%9C%EB%B0%9C%EC%9E%90%EC%A0%84%EB%AC%B8%EC%97%B0%EA%B5%AC%EC%9A%94%EC%9B%90%EA%B0%80%EB%8A%A5,,
"February 16, 2025 8:00 PM",최진아,데이터라이즈,Data Analytics Engineer,,정규직,1~3년,2025,2025/01/13,,"• Data Analytics Engineer는 데이터 프로파일링 파이프라인을 관리하며 고객사 CRM 캠페인의 대상자가 추출되는 프로세스를 자동화하는 업무를 주로 맡고 있습니다. • 500곳이 넘는 고객사의 모든 커머스 데이터와 일 5천만 건 이상의 고객 행동 로그를 바탕으로 비즈니스 요구사항을 데이터로 해석하여 알맞은 데이터를 만들어냅니다.• 수억 건 이상의 가공된 데이터들을 최종 고객에게 빠르게 전달할 수 있는 다양한 어플리케이션을 설계, 개발, 운영하고 이 과정에서 다양한 직군의 동료(데이터 직군, 백엔드 엔지니어, PM, 세일즈 등)와 함께 협업하여 데이터로 서비스에 가치를 부여합니다.• 데이터 사이언티스트, 분석가, 엔지니어와 함께 협업하여 데이터라이즈의 복잡하고 방대한 데이터를 서비스에서 활용할 수 있도록 파이프라인을 구축합니다.• 글로벌 환경에 맞는 데이터 서비스를 만드는데 긴밀히 참여합니다.","• 데이터를 활용하여 비즈니스 문제를 해결해보신 경험이 2년 이상이거나, 이에 준하는 실력을 가지신 분• SQL 활용 능력이 탁월하신 분• 다양한 직군의 동료들과 거침없이 커뮤니케이션하며 결과를 만들어내실 수 있는 분• 비즈니스 문제를 해결하기 위해 데이터 기반으로 문제를 정의하고 해결하실 수 있는 분• 새로운 도메인 지식을 빠르게 학습하시는 분• 스타트업의 A to Z를 경험하고 싶으신 분","• 정의되지 않은 과제를 정의하고 스스로 해결하는 것을 즐기시는 분• Python 사용 경험이 있으신 분• Spark, Hadoop 등의 대용량 분산 처리 기술 사용 경험이 있으신 분• CS 전반 지식 및 프로그래밍 능력이 뛰어나신 분• Airflow와 같은 job orchestration framework 사용 경험이 있으신 분• CRM에 대한 이해가 있으신 분",No,No,,"SQL, PYTHON",,,학력 무관,https://www.rocketpunch.com/jobs/153310/Data-Analytics-Engineer,,
"February 16, 2025 5:04 PM",최진아,에이아이세스,지식기반 AI 챗봇 주니어급 채용,,정규직,"5년 이하, 신입",2025,,2025/03/04,"ㆍLLM 모델을 활용한 AI 서비스 개발 (Prompt Engineering /RAG)
ㆍLLM 모델 활용을 통한 챗봇 서비스 개발
ㆍ데이터 추출 업무
- 각종 다양한 문서, 데이터베이스 등을 통한 데이터 추출
- 이미지 내 데이터 추출 경험(OCR)
ㆍ자연어 처리(NLP) 및 정보 검색, 텍스트 생성 업무
- word embedding, text clustering 등 NLP 기술을 이용한 텍스트 데이터 전처리
- text chunking, semantic maching 등을 활용한 문서 탐색 시스템 구조화
- vector DB를 활용한 문서 검색 시스템 최적화
- retriever, reader 등 유사 문서 검색 알고리즘 최적화
- Language Model의 검토, 테스트, 활용 (Embedding Model, Reranking Model 등)
ㆍ LLM 관련 업무
- sLLM fine-tunning 및 연구
- sLLM fine-tunning 및 연구
- 신규 기술 동향 분석 및 검증","ㆍ신입~5년 이하 / 학력 무관
ㆍRAG/LLM/LangChain 등을 이용한 개발 경험이 있으신 분
ㆍFastAPI/Django 와 같은 프레임워크를 사용해 개발 경험이 있으신 분
ㆍPython, C++, Java 등의 언어를 활용한 프로그래밍 능력 및 Linux/Shell 활용 능력
ㆍRest API 등 프로그래밍에 대한 이해가 있으신 분
ㆍ원활한 팀웍을 위해 태도 및 협업 커뮤니케이션 능력을 가진 분","ㆍLLM 및 RAG를 활용한 챗봇 서비스 경험이 있으신 분
ㆍ도메인 특화 LLM 관련 연구 및 개발 경험 있으신 분
ㆍLinux 활용도 및 docker 관련 활용 성숙도 있으신 분",No,No,,,,,학력 무관,https://jumpit.saramin.co.kr/position/43661,,
"February 16, 2025 4:58 PM",최진아,(주)스카우트,데이터 사이언티스트,,정규직,경력(연차 무관),2025,,,"- 정형 / 비정형 데이터 융합 및 가공 (금융, 비금융)

- 금융 데이터와 새롭게 가공한 데이터의 활용 방안 기획 및 구현 (예: 예측 모델, 신용평가모델, 상품 전략, 고객 특성 파악 등)

- 개발된 모형의 검증, 모니터링, 재학습, 시각화 및 고도화 작업","- 은행, 카드, 보험 등 금융 데이터 분석 및 관련 모형을 기획하고 개발한 경험이 있으신 분

- 데이터를 통해 실제 서비스에 기능 및 개선을 적용한 경험이 있고, 결과와 성과를 수치로 설명이 가능하신 분

- 통계 / 수학/ 경영/ 경제/ 산업공학 등 전공자 또는 그에 준하는 지식 및 스킬 보유자","- 데이터 분석/모델링 결과 및 비즈니스 대안을 비전공자 관점에서 쉽고 명확하게 전달 가능하신 분

- 머신러닝 및 인공지능 기술을 활용한 분석 경험을 보유하신 분",No,No,,,,,학부졸업생,https://job.incruit.com/jobdb_info/jobpost.asp?job=2404030004746&src=etc*search,,
"February 16, 2025 4:30 PM",최진아,사각,AI Researcher/Data Scientist,,정규직,1~3년,2025,2025/02/01,2025/02/28,"1. Private Personalized AI Agent PoC: 고객이 보유한 데이터를 이용한 AI 서비스 아이디어 구현/검증
- 데이터를 분석하여 정량적인 지표를 추출(EDA and Feature Engineering)
- 적절한 머신러닝 기법을 선택한 후 학습 및 검증(Training and Validation)

2. 코어 AI 알고리즘 연구
- On-device, On-premise 환경을 타겟으로 Federated Learning Framework 을 중심으로 한 Privacy Preserving AI 알고리즘 연구

* 주요분야
- Personalized Federated Learning
- Transfer Learning for Model Compression
- Machine Unlearning

3. 기업용 업무 자동화를 위한 SLM 기반 AI 모델 개발
- 범용 LM이 아닌 수행업무가 명확하게 정의된 특수 목적용 LM 개발
- 오픈소스 LLM을 바탕으로 주어진 수행업무의 범위에 따라 RAG 또는 미세조정 수행","• 파이썬 기반의 머신러닝 라이브러리 및 딥러닝 프레임워크(Pytorch, Tensorflow, et. al.) 사용에 능숙하신 분
• 통계분석, 머신러닝(특히, 연합학습)에 대한 기본적인 이해를 가지고 계신분
• 주어진 문제에 대한 논리적/문맥적 정의를 바탕으로 데이터를 활용한 해결책을 수립하고 검증하는 데 열정이 있는 분
• Technical Presentation에 익숙하신 분","• 논문 또는 챌린지 등 데이터분석, 머신러닝/딥러닝 프로젝트을 주도해서 수행한 경험이 있으신 분
• 실 생활에서 접하는 다양한 유형의 데이터에 대해, preprocessing 및 머신러닝 모델을 설계하고 검증해본 경력이 있는 분
• MLOps에 대한 경험이 있으신 분",No,Yes,,,,,학력 무관,https://www.rocketpunch.com/jobs/151826/AI-Agent-AI-ResearcherData-Scientist#content,,
"February 16, 2025 4:19 PM",최진아,앰버로드,Data Scientist,,정규직,1~3년,2025,2025/02/13,,"• 제조 데이터 분석 수행
• 제품 고도화를 위한 연구 수행","• 데이터분석을 통해 양질의 인사이트를 도출하시는 분
• 팀으로 움직일 때 능력 발휘를 더 잘하시는 분
• 문제해결 능력과 커뮤니케이션이 원활하신 분
• 논문(영문)을 이해하고 요약 정리하는데 어려움이 없는 분
• 다른 직군과 협업을 통해 문제를 정의하고 해결책을 찾을 수 있는 분
• 남성의 경우 군필","• 유관분야 석사 이상
• 논문 및 특허 작성 경험
• Kaggle, Dacon 등 Competition 경험자 및 우수 기록 보유자
• 다양한 형태의 데이터 전처리 ~ 분석 결과 도출 프로젝트 수행 경험이 있는 분",No,Yes,,,,,학력 무관,https://www.rocketpunch.com/jobs/153856/Data-Scientist,,
"February 16, 2025 4:11 PM",최진아,인벡터,AI 개발자,,인턴(채용연계),1~3년,2025,2025/01/17,,"- AI 모델 설계 및 개발, 최적화 진행
- 데이터 수집, 처리 및 분석을 통한 AI 모델 성능 개선
- 인벡터의 AI 기반 기능 개발 및 신규 기능 기획
- NLP, Knowledge Graph, 벡터 데이터베이스 등의 최신 기술을 활용한 기능 개발
- ML Ops 도구를 활용하여 모델의 배포, 모니터링 및 관리
- 모델의 성능 최적화","- 개인 포트폴리오 필수
- 관련 경험 (2년 이상) 또는 관련 프로젝트 경험
- AI 및 ML 모델 개발 경험
- NLP, Knowledge Graph, 벡터 데이터베이스 등의 AI 기술 이해","- 스타트업 근무 경험 또는 창업 경험
- AI/ML 관련 프로젝트 개발 및 참여 경험
- ML Ops 경험 및 데이터 파이프라인 구축 경험",No,No,,"- Python
- LlamaIndex
- Langgraph
- Autogen
- Huggingface",,,,https://www.rocketpunch.com/jobs/153497/AI-%EA%B0%9C%EB%B0%9C%EC%9E%90%EC%B1%84%EC%9A%A9%EC%97%B0%EA%B3%84%ED%98%95-%EC%9D%B8%ED%84%B4?utm_source=rocketpunch&utm_medium=advertisement&utm_campaign=job_ad&utm_content=job_detail,,
